ID,site_id,상태값,정책명,최종추천제목,메인 키워드,메타설명,태그,발행 URL,발행일시,원본출처,우선발행점수,최종수정일,상태변경로그,wp_post_id,wp_permalink,wp_status,published_at,history,calculator_id,quality_score,quality_status,quality_failed_rules,quality_review_model,quality_reviewed_at,quality_prompt_version,last_synced_at,sync_flag,quality_resolved_at,_p2b_temp,_p2b_cleanup
20260718063828_6906,,재처리완료,퇴직금 계산법,2026 퇴직금 계산기: 정확한 계산법,,2026년 최신 퇴직금 계산기를 통해 퇴직금 계산법을 정확히 파악하고 계획하세요. 쉽고 빠른 계산 제공.,"퇴직금 계산기, 퇴직금 계산법, 2026 퇴직금, 퇴직금 계산, 퇴직금 계획",,2026-07-18 6:38:28,,,2026-07-18 18:34:20,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T06:38:29.408824"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""e45622cf""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-18T18:34:22.041768"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""e45622cf"", ""published_post_id"": ""57""}]",calc_20260702221624_38e4,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}, {""gate"": ""G4"", ""grade"": ""major"", ""detail"": ""계산 예시 0개 → 최소 2개 필요"", ""priority"": 2}]",,2026-07-18 6:38:28,e45622cf,,,2026-07-18 18:34:20,,
20260718063922_d955,,재처리완료,퇴직금 계산 방법,2026 퇴직금 계산기,,최신 2026년 기준 퇴직금 계산 방법과 정확한 계산을 위한 온라인 퇴직금 계산기를 이용해보세요.,"퇴직금 계산 방법, 2026 퇴직금 계산, 퇴직금 계산기, 퇴직금 온라인 계산, 정확한 퇴직금 계산",,2026-07-18 6:39:23,,,2026-07-18 18:34:22,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T06:39:23.702420"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""e45622cf""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-18T18:34:24.544426"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""e45622cf"", ""published_post_id"": ""57""}]",calc_20260702221624_38e4,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}, {""gate"": ""G4"", ""grade"": ""major"", ""detail"": ""계산 예시 1개 → 최소 2개 필요"", ""priority"": 2}]",,2026-07-18 6:39:23,e45622cf,,,2026-07-18 18:34:22,,
20260718064028_8339,,재처리완료,연차수당 계산법,2026 연차수당 계산법 가이드,,최신 연차수당 계산법으로 직장인들에게 정확한 연차수당을 계산하는 방법을 안내합니다. 2026년 업데이트된 정보를 확인하세요.,"2026 연차수당, 연차수당 계산법, 직장인 연차수당, 연차수당 계산기, 연차수당 계산 방법",,2026-07-18 6:40:28,,,2026-07-19 18:58:57,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T06:40:29.333885"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""67bc5b26""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-19T18:58:59.268796"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""67bc5b26"", ""published_post_id"": ""60""}]",calc_20260702221626_303c,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}]",,2026-07-18 6:40:28,67bc5b26,,,2026-07-19 18:58:57,,
20260718093519_735e,,재처리완료,연차수당 계산 방법,2026 연차수당 계산기,,연차수당 계산 방법을 쉽게 알아보세요! 정확한 연차수당 계산기 통해 연차 보상금액을 산출하세요.,"2026 연차수당 계산기, 연차수당 계산 방법, 연차 보상금 계산, 연차수당 계산기 2026, 연차수당 정확한 계산",,2026-07-18 9:35:20,,,2026-07-19 18:59:00,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T09:35:21.136137"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""67bc5b26""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-19T18:59:01.799120"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""67bc5b26"", ""published_post_id"": ""60""}]",calc_20260702221626_303c,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}]",,2026-07-18 9:35:20,67bc5b26,,,2026-07-19 18:59:00,,
20260718100612_2a7b,,재처리완료,4대보험 계산법,2026년 4대보험 계산법 안내,,최신 2026년 기준으로 4대보험 계산법을 알아보세요. 소득 및 보험료 계산 예시와 함께 자세한 설명 제공.,"4대보험 계산법 2026, 4대보험 계산기 2026, 4대보험 계산 방법",,2026-07-18 10:06:12,,,2026-07-21 18:46:35,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T10:06:13.272485"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""068ff645""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-21T18:46:37.179797"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""068ff645"", ""published_post_id"": ""66""}]",calc_20260702221629_f9fa,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}]",,2026-07-18 10:06:12,068ff645,,,2026-07-21 18:46:35,,
20260718100730_e9cb,,재처리완료,4대보험 계산 방법,2026 4대보험 계산 방법 가이드,,2026년 4대보험 계산 방법에 대해 알아보세요. 최신 정보와 간단한 계산법으로 정확한 보험료를 산출하세요.,"4대보험 계산 방법, 2026년 4대보험, 4대보험 계산기, 최신 4대보험 정보",,2026-07-18 10:07:31,,,2026-07-21 18:46:37,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T10:07:31.967406"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""068ff645""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-21T18:46:39.833980"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""068ff645"", ""published_post_id"": ""66""}]",calc_20260702221629_f9fa,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}]",,2026-07-18 10:07:31,068ff645,,,2026-07-21 18:46:37,,
20260718100851_ce4f,,재처리완료,연말정산 환급액 계산법,2026 연말정산 환급액 계산법 안내,,2026년 연말정산 환급액 계산법을 쉽게 이해하고 적용할 수 있는 안내서입니다. 당신의 환급액을 정확히 계산하세요.,"연말정산 환급액 계산법, 2026 연말정산, 환급액 계산, 세금 환급, 환급액 계산기",,2026-07-18 10:08:51,,,2026-07-22 18:57:22,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T10:08:52.558694"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""1cd05b5c""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-22T18:57:24.487007"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""1cd05b5c"", ""published_post_id"": ""69""}]",calc_20260704111358_9168,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}, {""gate"": ""G4"", ""grade"": ""major"", ""detail"": ""계산 예시 1개 → 최소 2개 필요"", ""priority"": 2}, {""gate"": ""G7"", ""grade"": ""minor"", ""detail"": ""AI 문체 금지표현 1건: 알아보겠습니다"", ""priority"": 3}]",,2026-07-18 10:08:51,1cd05b5c,,,2026-07-22 18:57:22,,
20260718101008_bbf5,,재처리완료,육아휴직 급여 계산법,2026 육아휴직 급여 계산법 안내,,2026년 최신 기준으로 육아휴직 급여를 손쉽게 계산하세요. 육아휴직 기간 동안 받을 수 있는 정확한 급여를 알아보세요.,"육아휴직 급여 계산법 2026, 2026 육아휴직 급여 계산, 육아휴직 급여 계산기",,2026-07-18 10:10:08,,,2026-07-23 12:02:48,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T10:10:09.118524"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""671e8a5f""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-23T12:02:50.539580"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""5e860ca8"", ""published_post_id"": ""72""}]",calc_20260704133142_b82a,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}]",,2026-07-18 10:10:08,671e8a5f,,,2026-07-23 12:02:48,,
20260718101131_40de,,재처리완료,연말정산 환급액 계산 방법,2026 연말정산 환급액 계산법,,2026년을 위한 최신 연말정산 환급액 계산 방법을 알아보세요. 간단한 계산기로 정확한 환급액을 확인할 수 있습니다.,"연말정산 환급액 계산 방법, 2026 환급액 계산, 연말정산 계산기 2026",,2026-07-18 10:11:32,,,2026-07-22 18:57:25,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T10:11:32.827758"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""1cd05b5c""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-22T18:57:27.136316"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""1cd05b5c"", ""published_post_id"": ""69""}]",calc_20260704111358_9168,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}]",,2026-07-18 10:11:32,1cd05b5c,,,2026-07-22 18:57:25,,
20260718102533_2c26,,재처리완료,육아휴직 급여 계산 방법,2026 육아휴직 급여 계산 방법,,2026년 육아휴직 급여를 정확하게 계산하는 방법을 알아보세요. 단계별 가이드로 쉽고 빠르게 결과를 확인하세요.,"2026 육아휴직 급여 계산, 육아휴직 급여 계산 방법, 육아휴직 급여 2026",,2026-07-18 10:25:33,,,2026-07-23 12:02:51,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T10:25:34.297908"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""critical"", ""critical_gates"": [""G5""], ""prompt_version"": ""671e8a5f""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-23T12:02:53.382633"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""5e860ca8"", ""published_post_id"": ""72""}]",calc_20260704133142_b82a,,REWRITE,"[{""gate"": ""G5"", ""grade"": ""critical"", ""critical"": true, ""detail"": ""내부링크 0개 → 최소 2개 필요"", ""priority"": 1}, {""gate"": ""G4"", ""grade"": ""major"", ""detail"": ""계산 예시 1개 → 최소 2개 필요"", ""priority"": 2}]",,2026-07-18 10:25:33,671e8a5f,,,2026-07-23 12:02:51,,
