로그ID,실행일시,마스터ID,대상 정책명,가동 결과 (성공/오류),실패 모듈명,오류 원인 내용
54425a3c,2026-06-28 21:36:44,,,,,
e64c0719,2026-06-28 21:37:46,,,,,
2b8cf217,2026-06-28 21:38:34,,,,,
ca831b48,2026-06-28 21:39:19,,,,,
84d0b033,2026-06-28 21:40:08,,,,,
e98f8d8a,2026-06-28 21:41:03,,,,,
db4a0ede,2026-06-28 21:41:47,,,,,
2f62b702,2026-06-28 21:41:53,,,,,
88b6a54a,2026-06-28 21:42:30,,,,,
84e000ea,2026-06-28 21:42:30,,,,,
50e3d4d2,2026-06-28 21:43:01,,,,,
7ba4469e,2026-06-28 21:43:06,,,,,
8b2e3bfd,2026-06-28 21:43:32,,,,,
da4546a2,2026-06-28 21:43:36,,,,,
0d59971a,2026-06-28 21:44:04,,,,,
7875ca8f,2026-06-28 21:44:10,,,,,
b4df1644,2026-06-28 21:44:28,,,,,
e770420d,2026-06-28 21:44:36,,,,,
48f96a63,2026-06-28 21:44:42,,,,,
dac10c9f,2026-06-28 21:44:56,,,,,
be3a3489,2026-06-28 21:45:04,,,,,
6ca8f653,2026-06-28 21:45:09,,,,,
7c3bcbca,2026-06-28 21:45:24,,,,,
b09cb8b3,2026-06-28 21:45:32,,,,,
020a917d,2026-06-28 21:45:36,,,,,
793b4d76,2026-06-28 21:46:00,,,,,
17e67392,2026-06-28 21:46:08,,,,,
752e8da2,2026-06-28 21:46:30,,,,,
af715a8d,2026-06-28 21:46:37,,,,,
45631a76,2026-07-01 22:40:53,,,,,
aa417437,2026-07-01 22:42:07,,,,,
9783c223,2026-07-01 22:42:59,,,,,
7a208892,2026-07-01 22:43:59,,,,,
40a22c61,2026-07-01 22:44:48,,,,,
a93ae854,2026-07-01 22:45:46,,,,,
75cd3b8c,2026-07-01 22:46:26,,,,,
c8c75d1c,2026-07-01 22:47:08,,,,,
e71c5a3c,2026-07-01 22:47:53,,,,,
